id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
8513,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3002,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2013,2,NA,NA
8514,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2977,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2013,3,NA,NA
8515,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2990,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2013,4,NA,NA
8516,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3074,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2014,1,NA,NA
8517,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3032,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2014,2,NA,NA
8518,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2985,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2014,3,NA,NA
8519,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3062,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2014,4,NA,NA
8520,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3105,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2015,1,NA,NA
8521,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3072,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2015,2,NA,NA
8522,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3022,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2015,3,NA,NA
8523,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3077,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2015,4,NA,NA
8524,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3128,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2016,1,NA,NA
8525,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3145,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2016,2,NA,NA
8526,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3133,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2016,3,NA,NA
8527,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3150,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2016,4,NA,NA
8528,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3255,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2017,1,NA,NA
8529,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3321,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2017,2,NA,NA
8530,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3273,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2017,3,NA,NA
8531,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3456,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2017,4,NA,NA
8532,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3584,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2018,1,NA,NA
8533,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3645,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2018,2,NA,NA
8534,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3595,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2018,3,NA,NA
8535,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,3631,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2018,4,NA,NA
8536,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,4801,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2019,1,NA,NA
8537,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,4876,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2019,2,NA,NA
8538,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,4948,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2019,3,NA,NA
8539,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,5097,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2019,4,NA,NA
8540,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,5052,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2020,1,NA,NA
8541,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,4493,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2020,2,NA,NA
8542,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,4380,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2020,3,NA,NA
8543,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,4739,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2020,4,NA,NA
8544,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,4958,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2021,1,NA,NA
8545,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,4945,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2021,2,NA,"Value is higher than Q2 in 2020. Q2 2020 saw the greatest impact on shelter use as congregate settings reduced capacity to meet physical distancing standards, and new programs were in the process of being launched to replace that loss in capacity."
8546,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,5288,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2021,3,NA,NA
8547,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,5539,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2021,4,NA,NA
8548,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,5911,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2022,1,NA,NA
8549,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,5833,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2022,2,NA,NA
8550,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,5979,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2022,3,NA,NA
8551,2.27,Shelter &amp; Overnight Services Use - Families (Average Individuals Per Night),q,n,745,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2007,1,NA,NA
